Código Classe Produto|Classe do Produto|Código|Nome Produto|Un.
APR|APARELHOS|APR01|DISPENSER C/ AUTOMAÇÃO|UN
APR|APARELHOS|APRI103001|CONJUGADO Á BATERIA GT-ONE|UN
APR|APARELHOS|APRI103002|CONJUGADO Á BATERIA OR-T 250|UN
APR|APARELHOS|APRI103003|CONJUGADO Á BATERIA ZAPAK92|UN
APR|APARELHOS|APRI103004|CONJUGADO Á BATERIA ZAPAK96|UN
APR|APARELHOS|APRI203007|CONJUGADO PNEUMÁTICO HT-16|UN
APR|APARELHOS|APRI303005|CONJUGADO ELÉTRICO ZAPAK2012|UN
APR|APARELHOS|APRI503009|ESTICADOR PET/PP P320|UN
APR|APARELHOS|APRI503010|ESTICADOR PET/PP P330|UN
APR|APARELHOS|APRI502011|ESTICADOR PET P380|UN
APR|APARELHOS|APRI504012|ESTICADOR CONJUGADO AÇO VR|UN
APR|APARELHOS|APRI501013|SELADOR PP 13 MM|UN
APR|APARELHOS|APRI501014|SELADOR PP 16 MM|UN
APR|APARELHOS|APRI501015|SELADOR PP 16 MM H36|UN
APR|APARELHOS|APRI502013|SELADOR PET 13 MM|UN
APR|APARELHOS|APRI502014|SELADOR PET 16 MM|UN
APR|APARELHOS|APRI502016|SELADOR PET 19 MM|UN
APR|APARELHOS|APRI506017|APLICADOR STRETCH W110|UN
APR|APARELHOS|APRI506018|APLICADOR STRETCH W560|UN
APR|APARELHOS|APRI507019|APLICADOR ADESIVA 50 MM T290|UN
APR|APARELHOS|APRI507020|APLICADOR ADESIVA 70 MM T520|UN
APR|APARELHOS|APRI507021|SUPORTE ADESIVA T9230|UN
APR|APARELHOS|APRI507022|SUPORTE ADESIVA T9260|UN
APR|APARELHOS|APRI507023|SUPORTE ADESIVA T9643|UN
APR|APARELHOS|APRI805026|APARELHO THR-2010|UN
APR|APARELHOS|APRI503029|DESENROLADOR THR SUPER|UN
APR|APARELHOS|APRI608030|GRAMPEADOR PNEUMÁTICO PEDAL|UN
APR|APARELHOS|APRI608031|GRAMPEADOR PNEUMÁTICO MANUAL|UN
APR|APARELHOS|APRI708030|GRAMPEADOR MECÂNICO PEDAL|UN
APR|APARELHOS|APRI708031|GRAMPEADOR MECÂNICO MANUAL|UN
APR|APARELHOS|APRN401008|CONJUGADO MANUAL CP|UN
APR|APARELHOS|APRN505024|APARELHO TOBOGÃ|UN
APR|APARELHOS|APRN505025|APARELHO CANOA|UN
APR|APARELHOS|APRN503027|DESENROLADOR THR-30|UN
APR|APARELHOS|APRN503028|DESENROLADOR THR-60|UN
APR|APARELHOS|APRI502032|SELADOR PP 16MM H-34|UN
APR|APARELHOS|APRI401033|CONJUGADO MANUAL CP 13 MM|UN
APR|APARELHOS|APRI401034|CONJUGADO MANUAL CP 16 MM|UN
APR|APARELHOS|APRI103032|CONJUGADO Á BATERIA GT-ONE SMART|UN
APR|APARELHOS|APRN704001|SELADOR MEC TZ-AÇO 19MM|UN
APR|APARELHOS|APRI203036|CONJUGADO PNEUMÁTICO THR-34X|UN
APR|APARELHOS|APRN702037|SELADOR MEC TZ-PET 19MM|UN
APR|APARELHOS|APRI507038|LACRE ADESIVA T916|UN
APR|APARELHOS|APRI507039|LACRE ADESIVA T917|UN
APR|APARELHOS|APRN704040|SELADOR MEC TZ-AÇO 25MM|UN
APR|APARELHOS|APRI502015|SELADOR PET 16 MM H-36|UN
APR|APARELHOS|APRI103041|CONJUGADO Á BATERIA FROMM P326|UN
APR|APARELHOS|APRI103042|CONJUGADO Á BATERIA ZAPAK 28|UN
APR|APARELHOS|APRI103043|CONJUGADO Á BATERIA OMS|UN
APR|APARELHOS|APRN805044|APARELHO UNI-99|UN
APR|APARELHOS|APRI103045|CONJUGADO Á BATERIA ITA-20|UN
APR|APARELHOS|APRN504046|DESENROLADOR P/ FITA DE AÇO 19MM|UN
APR|APARELHOS|APRI103047|CONJUGADO Á BATERIA ZAPAK26|UN
APR|APARELHOS|APRN702048|SELADOR MEC TZ-PET 25MM|UN
APR|APARELHOS|APRN702049|ESTICADOR MEC TR-PET 25MM|UN
APR|APARELHOS|APRN404050|CONJUGADO P/FITA DE AÇO T-2 N|UN
APR|APARELHOS|APRI103051|CONJUGADO Á BATERIA GT-ONE 19MM|UN
APR|APARELHOS|APRI805090|CONJUGADO A BATERIA Q31|UN
APR|APARELHOS|APRI503054|ESTICADOR PET/PP THR-23-13/16/19MM|UN
APR|APARELHOS|APRI905053|APARELHO THR-800A|UN
APR|APARELHOS|APRI805052|APARELHO THR-800|UN
APR|APARELHOS|APRI507093|APLICADOR DE FITA P/ DEMARCAÇÃO DE SOLO-TA100|PC
APR|APARELHOS|APRI503055|SELADOR PET THR-36-12/13MM|UN
APR|APARELHOS|APRN707094|ESTICADOR MEC TR-AÇO 19MM|UN
APR|APARELHOS|APRI503056|SELADOR PET THR-36 -15/16MM|UN
APR|APARELHOS|APRI506073|APLICADOR STRETCH SF-773|PC
APR|APARELHOS|MAQI205041|DISPENSER P/ AIR PAD|UN
APR|APARELHOS|MAQN205041|DISPENSER P/ AIR PAD|UN
APR|APARELHOS|APRI506074|APLICADOR STRETCH SF-756|PC
APR|APARELHOS|APRI507057|APLICADOR FITA ADESIVA 50MM EC-275|UN
APR|APARELHOS|APRI506065|APLICADOR STRETCH CORELESS SF-77421|UN
APR|APARELHOS|APRI506075|APLICADOR STRETCH HC-93111|PC
APR|APARELHOS|APRI506058|APLICADOR STRETCH SF-773 NÃO USAR|UN
APR|APARELHOS|APRI506059|APLICADOR STRETCH SF-756 NÃO USAR|UN
APR|APARELHOS|APRI506080|APLICADOR STRETCH SF-77421|PC
APR|APARELHOS|APRI506060|CORTADOR STRETCH HC-93111|UN
APR|APARELHOS|APRI507061|DISPENSADOR DE MESA P/ ADESIVA ET-63371|UN
APR|APARELHOS|APRI506084|APLICADOR STRETCH SF-752|PC
APR|APARELHOS|APRI507062|DISPENSADOR DE MESA P/ ADESIVA ET-13371|UN
APR|APARELHOS|APRI507063|APLICADOR FITA ADESIVA 50MM EC-233|UN
APR|APARELHOS|APRI507072|APLICADOR ADESIVA 50MM EC-275|PC
APR|APARELHOS|APRI507064|DISPENSADOR MANUAL P/ ADESIVA ET-267 não usar|UN
APR|APARELHOS|APRI507066|APLICADOR FITA ADESIVA EC-326|UN
APR|APARELHOS|APRI507076|DISPENSADOR MESA P/ ADESIVA ET-63371|PC
APR|APARELHOS|APRI507067|APLICADOR FITA ADESIVA ET-0050|UN
APR|APARELHOS|APRI507077|DISPENSADOR MESA P/ ADESIVA ET-13371|PC
APR|APARELHOS|APRI507068|APLICADOR FITA ADESIVA ET-0038|UN
APR|APARELHOS|APRI506069|APLICADOR STRETCH SF-752 NÃO USAR|UN
APR|APARELHOS|APRI507070|APLICADOR FITA ADESIVA ET-366|UN
APR|APARELHOS|APRI507078|APLICADOR ADESIVA 50MM EC-233|PC
APR|APARELHOS|APRI507071|SUPORTE DA CAIXA HP-237|UN
APR|APARELHOS|APRI507079|DISPENSADOR MANUAL P/ ADESIVA ET-267|PC
APR|APARELHOS|APRI507081|APLICADOR ADESIVA EC-236|PC
APR|APARELHOS|APRI507082|APLICADOR ADESIVA ET-0050|PC
APR|APARELHOS|APRI507083|APLICADOR ADESIVA ET-0038|PC
APR|APARELHOS|APRI507085|APLICADOR ADESIVA ET-366|PC
APR|APARELHOS|APRI507086|SUPORTE CAIXA HP-237|PC
APR|APARELHOS|APRN504087|TESOURA MANUAL P/ FITA DE AÇO TC-THR NAC|UN
APR|APARELHOS|APRN103088|CONJUGADO À BATERIA BXT2-19 NAC|UN
APR|APARELHOS|APRI504087|TESOURA MANUAL P/ FITA DE AÇO TC|UN
APR|APARELHOS|APRI805089|APARELHO THR-2010A|UN
APR|APARELHOS|APRN805089|APARELHO THR-2010A|UN
APR|APARELHOS|APRN103091|CONJUGADO Á BATERIA THR 13/16|UN
APR|APARELHOS|APRN704090|ESTICADOR MEC TR-AÇO 25MM|UN
APR|APARELHOS|APRI103091|CONJUGADO Á BATERIA CHT-400 19MM|UN
APR|APARELHOS|APRI507087|APLICADOR FITA ADESIVA 70MM E-326|PC
APR|APARELHOS|APRI507088|APLICADOR DE FITA ADESIVA SF-77331|PC
APR|APARELHOS|APRI507089|APLICADOR DE FITA ADESIVA SF-77621|PC
APR|APARELHOS|APRI507090|APLICADOR DE FITA ADESIVA SF-2781E|PC
APR|APARELHOS|APRI507091|SUPORTE DE CAIXA T-03|PC
APR|APARELHOS|APRI103092|CONJUGADO Á BATERIA CHT-400 19MM (AMBEV)|UN
APR|APARELHOS|APRN604092|SELADOR PNEUMÁTICO TV9 - AÇO - 19/25/33MM|UN
APR|APARELHOS|APRN604093|ESTICADOR PNEUMÁTICO TN6 - AÇO - 19/25/33MM|UN
APR|APARELHOS|APRN506017|APLICADOR STRETCH W110 N|UN
APR|APARELHOS|APRI507092|DISPENSADOR DE MESA P/ ADESIVA EX-112BK|PC
APR|APARELHOS|APRI506085|APLICADOR FITA MS-169EXC|PC
APR|APARELHOS|APRI506086|APLICADOR STRETCH SF-7608|PC
APR|APARELHOS|APRI506087|APLICADOR STRETCH SF-7542|PC
APR|APARELHOS|APRI506088|APLICADOR FITA GOMADA  ET-377|PC
APR|APARELHOS|APRI506089|APLICADOR FITA EX-191BK|PC
APR|APARELHOS|APRI608032|GRAMPEADOR PNEUMÁTICO MANUAL I|UN
APR|APARELHOS|APRN503029|DESENROLADOR THR-30 C/KIT 2 AROS|UN
MAQ|MAQUINAS|MAP|MÁQUINA P/ SOLDA DE AIR PADS|UN
MAQ|MAQUINAS|MAQI101001|MAQ AUTO P/FITA PP TP-101 MONOFÁSICA|UN
MAQ|MAQUINAS|MAQI101002|MAQ AUTO P/FITA PP TP-101 TRIFÁSICA 220/380V|UN
MAQ|MAQUINAS|MAQI101003|MAQ AUTO P/FITA PP TP-101 TRIFÁSICA 380V|UN
MAQ|MAQUINAS|MAQI101004|MAQ AUTO P/FITA PP TP-101 PR|UN
MAQ|MAQUINAS|MAQI101005|MAQ AUTO P/FITA PP AP-1000 EX|UN
MAQ|MAQUINAS|MAQI101006|MAQ AUTO P/FITA PP AM-650|UN
MAQ|MAQUINAS|MAQI201008|MAQ SEMI P/FITA PP TK-90|UN
MAQ|MAQUINAS|MAQI201009|MAQ SEMI P/FITA PP TP-90|UN
MAQ|MAQUINAS|MAQI201010|MAQ SEMI P/FITA PP ES-103|UN
MAQ|MAQUINAS|MAQI201011|MAQ SEMI P/FITA PP EX-105|UN
MAQ|MAQUINAS|MAQI102012|MAQ AUTO P/FITA PET CABEÇOTE MS-300|UN
MAQ|MAQUINAS|MAQI203012|MAQ SEMI AUTO P/STRETCH THR-1521|UN
MAQ|MAQUINAS|MAQI203013|MAQ SEMI AUTO P/STRETCH AP-300|UN
MAQ|MAQUINAS|MAQI204015|MAQ SEMI P/FITA ADESIVA THR-6601H|UN
MAQ|MAQUINAS|MAQI204017|MAQ SEMI P/FITA ADESIVA THR-6602H|UN
MAQ|MAQUINAS|MAQI101020|MÁQ AUTO P/FITA PP TK-118|UN
MAQ|MAQUINAS|MAQI201021|MÁQ SEMI P/ FITA PP TP-202|PC
MAQ|MAQUINAS|MAQI201019|MÁQ SEMI P/ FITA PP TK-92|UN
MAQ|MAQUINAS|MAQI102022|MÁQ AUTO P/ FITA PET CABEÇOTE GS-41|UN
MAQ|MAQUINAS|MAQI203014|MÁQ SEMI AUTO P/ STRETCH AP-200|UN
MAQ|MAQUINAS|MAQI203015|MÁQ SEMI AUTO P/ STRETCH AP-200 W|UN
MAQ|MAQUINAS|MAQI203016|MÁQ SEMI AUTO P/ STRETCH AP-300 W|UN
MAQ|MAQUINAS|MAQI203025|MÁQ SEMI AUTO P/ STRETCH ROBO MOBY|UN
