"Código";"Nome Produto";"Un."
"F4ALM00001";"ABRAÇADEIRA - 67-75 ( 5162 )";"PC"
"F4ALM00002";"ABRAÇADEIRA - 73-81 (5162)";"PC"
"F4ALM00003";"ABRAÇADEIRA - 61-69 (5162)";"PC"
"F4ALM00004";"ABRAÇADEIRA - 111-123 (5162)";"PC"
"F4ALM00005";"ABRAÇADEIRA - 54-62 (5162)";"PC"
"F4ALM00006";"ABRAÇADEIRA - 39-47 (5162)";"PC"
"F4ALM00007";"ABRAÇADEIRA - 4´´ (5162)";"PC"
"F4ALM00008";"ABRAÇADEIRA - 2´´ (5162)";"PC"
"F4ALM00009";"ABRAÇADEIRA - 1 1/2 (5162)";"PC"
"F4ALM00010";"ABRAÇADEIRA - 1´´ (5162)";"PC"
"F4ALM00011";"ABRAÇADEIRA - 3/4 (5162)";"PC"
"F4ALM00012";"ABRAÇADEIRA - 1/2 (5162)";"PC"
"F4ALM00013";"ABRAÇADEIRA - 2´´1/2 (5162)";"PC"
"F4ALM00014";"ABRAÇADEIRA CUNHA - 2´´ (5162)";"PC"
"F4ALM00015";"ABRAÇADEIRA CUNHA - 1´´ (5162)";"PC"
"F4ALM00016";"ABRAÇADEIRA CUNHA - 1/2 (5162)";"PC"
"F4ALM00017";"ABRAÇADEIRA CUNHA - 3/4 (5162)";"PC"
"F4ALM00018";"ABRAÇADEIRA CUNHA - 1 1/2 (5162)";"PC"
"F4ALM00019";"ABRAÇADEIRA - 3 1/2 (5162)";"PC"
"F4ALM00020";"ABRAÇADEIRA - 3´´ (5162)";"PC"
"F4ALM00021";"CONEXÃO RETA P/AR  - 4 MM C/R 6 (5162)";"PC"
"F4ALM00022";"CONEXÃO RETA P/AR  - 4MM C/R 1/8 (5162)";"PC"
"F4ALM00023";"CONEXÃO RETA P/AR  - 6MM C/R 5MM (5162)";"PC"
"F4ALM00024";"CONEXÃO RETA P/AR  - 6MM C/R 6 (5162)";"PC"
"F4ALM00025";"CONEXÃO RETA P/AR  - 6MM C/R 1/4 (5162)";"PC"
"F4ALM00026";"CONEXÃO RETA P/AR  - 6MM C/R 3/8 (5162)";"PC"
"F4ALM00027";"CONEXÃO RETA P/AR  - 8MM C/R 1/8 (5162)";"PC"
"F4ALM00028";"CONEXÃO RETA P/AR  - 8MM C/R 1/4 (5162)";"PC"
"F4ALM00029";"CONEXÃO RETA P/AR  - 8MM C/R 3/8 (5162)";"PC"
"F4ALM00030";"CONEXÃO RETA P/AR  - 10MM C/R 1/8 (5162)";"PC"
"F4ALM00031";"CONEXÃO RETA P/AR  - 10MM C/R 1/4 (5162)";"PC"
"F4ALM00032";"CONEXÃO RETA P/AR  - 10MM C/R 1/2 (5162)";"PC"
"F4ALM00033";"CONEXÃO RETA P/AR  - 10MM C/R 3/8 (5162)";"PC"
"F4ALM00034";"CONEXÃO RETA P/AR  - 12MM C/R 1/4 (5162)";"PC"
"F4ALM00035";"CONEXÃO RETA P/AR  - 12MM C/R 3/8 (5162)";"PC"
"F4ALM00036";"CONEXÃO RETA P/AR  - 12MM C/R 1/2 (5162)";"PC"
"F4ALM00037";"CONEXÃO RETA P/AR  - 16MM C/R 1/2 (5162)";"PC"
"F4ALM00038";"CONEXÕES EM L - 4MM C/R 5 (5162)";"PC"
"F4ALM00039";"CONEXÕES EM L - 4MM C/R 1/8 (5162)";"PC"
"F4ALM00040";"CONEXÕES EM L - 4MM C/R 1/4 (5162)";"PC"
"F4ALM00041";"CONEXÕES EM L - 4MM C/R 6 (5162)";"PC"
"F4ALM00042";"CONEXÕES EM L - 6MM C/R 5MM (5162)";"PC"
"F4ALM00043";"CONEXÕES EM L - 6MM C/R 6 (5162)";"PC"
"F4ALM00044";"CONEXÕES EM L - 6MM C/R 1/8 (5162)";"PC"
"F4ALM00045";"CONEXÕES EM L - 6MM C/R 1/4 (5162)";"PC"
"F4ALM00046";"CONEXÕES EM L - 6MM C/R 3/8 (5162)";"PC"
"F4ALM00047";"CONEXÕES EM L - 8MM C/R 3/8 (5162)";"PC"
"F4ALM00048";"CONEXÕES EM L - 8MM C/R 1/8 (5162)";"PC"
"F4ALM00049";"CONEXÕES EM L - 8MM C/R 1/4 (5162)";"PC"
"F4ALM00050";"CONEXÕES EM L - 10MM C/R 1/8 (5162)";"PC"
"F4ALM00051";"CONEXÕES EM L - 10MM C/R 1/4 (5162)";"PC"
"F4ALM00052";"CONEXÕES EM L - 10MM C/R 3/8 (5162)";"PC"
"F4ALM00053";"CONEXÕES EM L - 12MM C/R 1/2 (5162)";"PC"
"F4ALM00054";"CONEXÕES EM T - 6MM (5162)";"PC"
"F4ALM00055";"CONEXÕES EM T - 8MM (5162)";"PC"
"F4ALM00056";"CONEXÕES EM T - 10MM (5162)";"PC"
"F4ALM00057";"CONEXÕES EM T - 12MM (5162)";"PC"
"F4ALM00058";"CONEXÕES EM T - 16MM (5162)";"PC"
"F4ALM00059";"EMENDA P/AR - 4MM (5162)";"PC"
"F4ALM00060";"EMENDA P/AR - 6MM (5162)";"PC"
"F4ALM00061";"EMENDA P/AR - 8MM (5162)";"PC"
"F4ALM00062";"EMENDA P/AR - 10MM (5162)";"PC"
"F4ALM00063";"EMENDA P/AR - 12MM (5162)";"PC"
"F4ALM00064";"EMENDA P/AR - 16MM (5162)";"PC"
"F4ALM00070";"REGULADORES - 4MM C/R 5 (5162)";"PC"
"F4ALM00071";"CONEXÃO RETA P/AR  - 6MM C/R 1/8 (5162)";"PC"
"F4ALM00072";"REGULADORES - 6MM C/R 5MM (5162)";"PC"
"F4ALM00073";"REGULADORES - 4MM C/R 1/8 (5162)";"PC"
"F4ALM00074";"REGULADORES - 6MM C/R 1/8 (5162)";"PC"
"F4ALM00075";"REGULADORES - 6MM C/R 1/4 (5162)";"PC"
"F4ALM00076";"REGULADORES - 6MM C/R 3/8 (5162)";"PC"
"F4ALM00077";"REGULADORES - 8MM C/R 1/8 (5162)";"PC"
"F4ALM00078";"REGULADORES - 8MM C/R 1/4 (5162)";"PC"
"F4ALM00079";"REGULADORES - 8MM C/R 3/8 (5162)";"PC"
"F4ALM00080";"REGULADORES - 10MM C/R 1/8 (5162)";"PC"
"F4ALM00081";"REGULADORES - 10MM C/R 1/4 (5162)";"PC"
"F4ALM00082";"REGULADORES - 10MM C/R 3/8 (5162)";"PC"
"F4ALM00083";"REGULADORES - 12MM C/R 1/2 (5162)";"PC"
"F4ALM00084";"VÁLVULAS  - 6MM (5162)";"PC"
"F4ALM00085";"VÁLVULAS  - 8MM (5162)";"PC"
"F4ALM00086";"VÁLVULAS  - 10MM (5162)";"PC"
"F4ALM00087";"CONEXÕES EM L - 10MM C/R 1/2 (5162)";"PC"
"F4ALM00088";"VÁLVULAS  - 12MM (5162)";"PC"
"F4ALM00089";"CONEXÕES EM L - 16MM C/R 1/2 (5162)";"PC"
"F4ALM00090";"VÁLVULAS  - 4MM (5162)";"PC"
"F4ALM00091";"CONEXÃO RETA P/AR  - 4MM C/R 1/4 (5162)";"PC"
"F4ALM00092";"REGULADORES - 4MM C/R 1/4 (5162)";"PC"
"F4ALM00093";"CONEXÃO RETA P/AR  - 4MM C/R 5MM (5162)";"PC"
"F4ALM00094";"CONEXÃO RETA P/AR  - 4MM C/R 6MM (5162)";"PC"
"F4ALM00095";"CONEXÕES EM L - 8 C/R 3/8 (5162)";"PC"
"F4ALM00096";"1480 DYNISCO - DYNISCO (5162)";"PC"
